INFO 2026-03-08 12:49:32,372 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:49:35,045 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:49:35,835 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:49:58,161 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:50:01,097 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:50:01,919 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:50:23,344 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:50:26,266 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:50:27,076 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:51:13,558 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:51:16,060 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:51:16,895 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:58:11,124 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:58:12,890 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:58:13,710 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 14:18:29,767 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:18:32,819 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:18:33,924 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:18:39,203 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 14:19:56,734 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:20:00,194 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:20:00,932 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:20:03,767 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 14:23:30,022 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:23:32,567 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:23:33,347 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:23:36,156 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 14:25:08,648 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:25:10,929 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:25:11,804 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 14:25:14,444 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
